Class,Order,Family,Species,ED,RL Category,GE,EDGE,EDGE Rank,Distribution,RL Synonym,Median ED
PINOPSIDA,PINALES,CUPRESSACEAE,Neocallitropsis pancheri,8.58794103,EN,3,4.339947708,128,New Caledonia,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas elongata,8.262037235,EN,3,4.30536557,130,Viet Nam,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus macrocarpus,8.232070535,EN,3,4.302124892,131,Philippines,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Libocedrus yateensis,8.197966026,EN,3,4.298423917,132,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus longifoliolatus,8.185850235,EN,3,4.297105824,133,New Caledonia,Podocarpus longefoliolatus,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus buchii,7.881116803,EN,3,4.263368857,134,"Dominican Republic, Haiti",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus pendulifolius,7.826300477,EN,3,4.257177496,135,"Venezuela, Bolivarian Republic of",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Afrocarpus usambarensis,7.821185916,EN,3,4.25659786,136,"Kenya, Tanzania, United Republic of",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus salignus,16.55319406,VU,2,4.251530292,137,Chile,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus globulus,7.71691822,EN,3,4.244707302,138,Malaysia,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus confertus,7.666009523,EN,3,4.238849964,139,Malaysia,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Macrozamia elegans,7.601486059,EN,3,4.231376528,140,Australia,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus humbertii,7.596118714,EN,3,4.230752331,141,Madagascar,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus purdieanus,7.535044363,EN,3,4.223622096,142,Jamaica,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Pinus culminicola,7.473061505,EN,3,4.216333438,143,Mexico,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus sellowii,7.335507584,EN,3,4.199965954,144,Brazil,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Picea asperata,15.63323226,VU,2,4.197696999,145,China,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Macrozamia spiralis,7.253585652,EN,3,4.190089272,146,Australia,NA,6.677812022
